,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
301,Андрей Рублев,302,СССР,"драма, биография",-,1966,8.2,47 640,,,0,0,0,0,1,,драма
302,Человек-паук,303,США,"фантастика, боевик",Spider-Man,2002,7.6,253 332,,,0,1,0,0,0,,фантастика
303,День выборов,304,Россия,комедия,-,2007,7.8,101 170,,,0,1,0,0,0,,комедия
304,Реквием по мечте,305,США,драма,Requiem for a Dream,2000,8.0,283 250,8.3,101.0,0,1,0,0,0,-0.3000000000000007,драма
305,Аватар,306,"США, Великобритания","фантастика, боевик",Avatar,2009,7.9,625 288,,,0,1,0,0,0,,фантастика
306,Господин Никто,307,"Бельгия, Германия","фантастика, мелодрама",Mr. Nobody,2009,7.9,212 992,,,0,1,0,0,0,,фантастика
307,Апокалипсис сегодня,308,США,"военный, драма",Apocalypse Now,1979,8.1,102 271,8.4,79.0,0,0,0,0,1,-0.3000000000000007,военный
308,Жизнь Дэвида Гейла,309,"США, Германия","триллер, драма","Life of David Gale, The",2002,8.1,151 442,,,0,1,0,0,0,,триллер
309,Ученик чудовища,310,Япония,"аниме, мультфильм",Bakemono no ko,2015,8.0,32 594,,,1,0,0,0,0,,аниме
310,"Ван Гог. С любовью, Винсент",311,"Польша, Великобритания","мультфильм, биография",Loving Vincent,2017,8.2,33 263,,,1,0,0,0,0,,мультфильм
311,Кролик Джоджо,312,"Новая Зеландия, Чехия","драма, комедия",Jojo Rabbit,2019,7.9,93 353,7.9,485.0,1,0,0,0,0,0.0,драма
312,Мальчишник в Вегасе,313,США,комедия,"Hangover, The",2009,7.9,278 058,,,0,1,0,0,0,,комедия
313,Танцующий с волками,314,"США, Великобритания","драма, вестерн",Dances with Wolves,1990,8.1,56 104,8.0,413.0,0,0,1,0,0,0.09999999999999964,драма
314,Семь самураев,315,Япония,"драма, приключения",Shichinin no samurai,1954,8.2,41 673,8.6,33.0,0,0,0,0,1,-0.40000000000000036,драма
315,Чудо,316,"США, Гонконг","драма, семейный",Wonder,2017,8.0,159 347,8.0,346.0,1,0,0,0,0,0.0,драма
316,Алеша Попович и Тугарин Змей,317,Россия,"мультфильм, комедия",-,2004,7.7,174 665,,,0,1,0,0,0,,мультфильм
