,position,country,genre,original name,year,rating,count
Старикам тут не место,197,"США, Мексика","триллер, драма",No Country for Old Men,2007,7.8,159 673
Баллада о солдате,198,СССР,"драма, мелодрама",-,1959,8.3,45 586
Убить Билла: Кровавое дело целиком,199,США,"боевик, триллер",Kill Bill: The Whole Bloody Affair,2011,8.2,13 292
Мы купили зоопарк,200,США,"драма, семейный",We Bought a Zoo,2011,7.6,88 604
Гордость и предубеждение,201,"Франция, Великобритания","драма, мелодрама",Pride & Prejudice,2005,8.0,149 462
Спирит: Душа прерий,202,США,"мультфильм, драма",Spirit: Stallion of the Cimarron,2002,8.1,87 134
Бешеные псы,203,США,"триллер, криминал",Reservoir Dogs,1991,8.1,227 761
Чужой,204,"Великобритания, США","ужасы, фантастика",Alien,1979,8.1,203 093
Хористы,205,"Франция, Швейцария","драма, музыка","Choristes, Les",2004,8.3,115 023
Восточный ветер,206,Германия,"приключения, семейный",Ostwind,2013,8.0,39 246
Работа без авторства,207,"Германия, Италия","биография, драма",Werk ohne Autor,2018,7.9,58 976
Как приручить дракона,208,США,"мультфильм, фэнтези",How to Train Your Dragon,2010,8.2,425 727
Марсианин,209,"Великобритания, США","фантастика, приключения","Martian, The",2015,7.7,374 128
Римские каникулы,210,США,"мелодрама, комедия",Roman Holiday,1953,8.3,104 175
Искупление,211,"Великобритания, Франция","драма, мелодрама",Atonement,2007,8.0,138 156
За бортом,212,США,"мелодрама, комедия",Overboard,1987,8.0,82 102
Мстители: Война бесконечности,213,США,"фантастика, боевик",Avengers: Infinity War,2018,7.9,551 253
Терминатор,214,"Великобритания, США","фантастика, боевик","Terminator, The",1984,8.0,244 606
Пленницы,215,США,"триллер, драма",Prisoners,2013,7.7,183 889
Лучшее предложение,216,Италия,"триллер, драма",La migliore offerta,2012,8.0,236 907
Небесный замок Лапута,217,Япония,"аниме, мультфильм",Tenkû no shiro Rapyuta,1986,8.2,52 816
Красотка,218,США,"мелодрама, комедия",Pretty Woman,1990,7.9,204 635
История игрушек: Большой побег,219,США,"мультфильм, фэнтези",Toy Story 3,2010,7.8,179 957
Рок-н-рольщик,220,"США, Великобритания","криминал, боевик",RocknRolla,2008,7.8,196 439
Помни,221,США,"триллер, детектив",Memento,2000,7.9,194 342
Мстители,222,США,"фантастика, боевик","Avengers, The",2012,7.9,476 845
Индиана Джонс и последний крестовый поход,223,США,"приключения, боевик",Indiana Jones and the Last Crusade,1989,8.1,137 195
Ведьмина служба доставки,224,Япония,"аниме, мультфильм",Majo no takkyûbin,1989,8.0,65 497
Звёздные войны: Эпизод 1 – Скрытая угроза,225,США,"фантастика, фэнтези",Star Wars: Episode I - The Phantom Menace,1999,7.9,239 487
Брестская крепость,226,"Россия, Беларусь","военный, боевик",-,2010,8.0,111 378
Грань будущего,227,"США, Канада","фантастика, боевик",Edge of Tomorrow,2014,7.9,354 690
Марли и я,228,США,"драма, комедия",Marley & Me,2008,7.8,130 380
Дом у озера,229,США,"фэнтези, драма","Lake House, The",2006,7.8,137 312
Одарённая,230,США,драма,Gifted,2017,7.8,125 694
Лицо со шрамом,231,США,"драма, криминал",Scarface,1983,8.2,169 064
Гнев,232,"США, Великобритания","боевик, триллер",Man on Fire,2004,7.9,125 975
Скрытые фигуры,233,США,"драма, биография",Hidden Figures,2016,7.6,67 275
Гаттака,234,США,"фантастика, драма",Gattaca,1997,8.0,138 260
Эта замечательная жизнь,235,США,"фэнтези, драма",It's a Wonderful Life,1947,8.4,55 182
Области тьмы,236,"США, Мексика","фантастика, триллер",Limitless,2011,8.0,530 222
Джуманджи,237,США,"фэнтези, комедия",Jumanji,1995,7.8,185 839
Гарри Поттер и Принц-полукровка,238,Великобритания,"фэнтези, приключения",Harry Potter and the Half-Blood Prince,2009,7.7,335 311
Шерлок Холмс и доктор Ватсон: Смертельная схватка,239,СССР,"криминал, детектив",-,1980,8.4,97 469
Город бога,240,"Бразилия, Франция","драма, криминал",Cidade de Deus,2002,8.0,112 724
Шерлок Холмс,241,"США, Германия","боевик, приключения",Sherlock Holmes,2009,8.1,412 288
Навсикая из долины ветров,242,Япония,"аниме, мультфильм",Kaze no tani no Naushika,1984,8.1,54 730
Апокалипсис,243,"США, Мексика","боевик, триллер",Apocalypto,2006,8.0,155 254
Золотой телёнок,244,СССР,комедия,-,1968,8.2,93 823
Король говорит!,245,"Великобритания, США","драма, биография","King's Speech, The",2010,8.0,231 255
Гарри Поттер и Кубок огня,246,"Великобритания, США","фэнтези, приключения",Harry Potter and the Goblet of Fire,2005,7.9,346 672
Вселенная Стивена Хокинга,247,"Великобритания, Япония","биография, мелодрама","Theory of Everything, The",2014,7.9,152 905
Самый быстрый Indian,248,"Новая Зеландия, Япония","драма, биография","World's Fastest Indian, The",2005,8.0,69 532
Малышка на миллион,249,США,"драма, спорт",Million Dollar Baby,2004,8.1,200 258
Бойфренд из будущего,250,Великобритания,"фантастика, фэнтези",About Time,2013,7.9,142 360
О чём говорят мужчины,251,Россия,комедия,-,2010,7.8,228 194
Холодное сердце,252,"США, Норвегия","мультфильм, мюзикл",Frozen,2013,7.8,388 708
Эрнест и Селестина: Приключения мышки и медведя,253,"Франция, Бельгия","мультфильм, фэнтези",Ernest et Célestine,2012,8.0,16 625
Лекарь: Ученик Авиценны,254,Германия,"приключения, история","Physician, The",2013,7.7,83 027
Великий Гэтсби,255,"Австралия, США","драма, мелодрама","Great Gatsby, The",2013,7.9,337 964
"Знакомьтесь, Джо Блэк",256,США,"фэнтези, мелодрама",Meet Joe Black,1998,8.0,219 528
Могила светлячков,257,"Япония, США","аниме, мультфильм",Hotaru no haka,1988,8.2,57 971
Кунг-фу Панда,258,США,"мультфильм, боевик",Kung Fu Panda,2008,7.8,219 219
Пока не сыграл в ящик,259,США,"драма, комедия","Bucket List, The",2007,8.0,206 040
Предложение,260,США,"мелодрама, комедия","Proposal, The",2009,7.6,227 564
История игрушек 2,261,США,"мультфильм, фэнтези",Toy Story 2,1999,7.8,116 071
Октябрьское небо,262,США,"драма, семейный",October Sky,1999,8.0,54 008
Труп невесты,263,"США, Великобритания","мультфильм, мюзикл",Corpse Bride,2005,7.8,145 261
Такси,264,Франция,"боевик, комедия",Taxi,1998,7.9,204 253
Гангстер,265,"США, Великобритания","драма, криминал",American Gangster,2007,7.9,113 165
Эрин Брокович,266,США,"драма, биография",Erin Brockovich,2000,7.8,56 456
Суперсемейка,267,США,"мультфильм, боевик","Incredibles, The",2004,7.5,191 917
